,address,sale_price,property_tax_2016,lot_size,square_feet,main_sqft,zillow_bedrooms,plumbing,year_built,type,neighborhood,zillow_finished_sqft,elementaryschool,segments,is_condo,roof,exteriormaterial,parkingtype,heatingsystem,coolingsystem,architecture,homedescription,on_zillow,sale_month_key
82,4757 N LOMBARD ST,450000,2161.81,7260,1488,744,4,2.0,1906,1 STY W/ATTIC & BSMT,PORTSMOUTH,2232,astor,5,0,Composition,Vinyl,,Forced air,None,Craftsman,"Please do not disturb tenants or walk property without appointment. Call to arrange a tour. Zoned R1 with multifamily and commercial overlay in 2018 per city. Old Portland home with 4 bedrooms and bonus room not a legal 5th bedroom. Tenants would like to stay if possible. Call Listing Agent to discuss. 2007 updates include water line, furnace, some vinyl windows, sidewalk, tilework, deck & roof. Fenced double lot with huge potential.",1,20
85,4769 N SYRACUSE ST,500000,3434.3,6000,1472,843,4,2.0,1908,1 STY,UNIVERSITY PARK,2170,astor,4,0,Composition,Wood,On-street,Forced air,Central,Bungalow,,1,30
86,4772 N AMHERST ST,451000,3502.43,5500,943,943,2,1.0,1942,1 STY W/BSMT,UNIVERSITY PARK,1063,astor,6,0,Composition,Wood,Garage - Detached,Forced air,,Other,"Character and Charm in this 1940''s Cape Cod Classic on a gorgeous street.  Warm hardwoods throughout this 2 BR/1BA home.  Lovely living room and dining room with large, updated windows to bring in natural light.  Basement with possible finishing potential has workshop and play area. Spacious fenced yard with wood deck. Updated plumbing, electrical service. 1 mi to New Seasons, half mi Univ of Portland.",1,21
87,4775 N GIRARD ST,435200,4814.06,3630,1646,722,3,2.5,2007,2 OR MORE STY,PORTSMOUTH,1646,astor,5,0,Shake / Shingle,Other,Garage - Attached,Forced air,Central,Craftsman,Beautifully updated property with custom designer finishes throughout.  Gourmet kitchen features stainless steel gas range and granite counter.  Freshly painted inside and out with new laminate flooring throughout main level.  All bedrooms and laundry on upper floor including the master suite.  Come see today!,1,28
88,4820 N OBERLIN ST,350000,2437.68,4200,1280,780,3,1.0,1941,1 STY W/BSMT,UNIVERSITY PARK,1000,,5,0,Shake / Shingle,Wood,Garage - Detached,Forced air,None,,"Open Sat. 2-4 & Sun. 11-1. Adorable 3 bedroom, 1 bathroom cottage in University Park neighborhood.  Clean and move-in ready.  Updated bath and kitchen.  Great curb appeal.  2 bedrooms on the main floor with 3rd bedroom in basement.  Den or family room in basement.  Detached garage and long driveway. Nice covered patio and large backyard for entertaining. Easy walk to the University of Portland and shops and restaurants on N. Lombard.",1,22
89,4833 N PRINCETON ST,346250,3755.17,6600,1962,1156,6,2.5,1957,1 STY W/BSMT,UNIVERSITY PARK,1556,,7,0,Shake / Shingle,Wood,Garage - Attached,Forced air,,Other,,1,22
90,4834 N WILLIS BLVD,312000,1831.98,5250,911,911,2,1.0,1904,1 STY W/BSMT,PORTSMOUTH,911,astor,3,0,Composition,Vinyl,Off-street,Forced air,Wall,Other,"This cozy Portsmouth neighborhood home has 2 bedrooms, 1 bath, laundry room with washer/dryer hookups. Great starter home or investment property. Laminate floors,gas water heater. Located on a large corner lot with fenced yard, developers check your options with the city for any potential development. Lot measures 51x107.
2 outbuildings, RV parking. Wrap around porch/deck.  Less than 1 mile from The University of Portland. Astor school district. Close to St.Johns living.  SHOWING AVAILAITY ON MONDAY'S - Please contact Broker for details. ",1,31
91,4835 N WILLAMETTE BLVD,313000,2330.41,4200,756,756,2,1.0,1944,1 STY,UNIVERSITY PARK,758,astor,3,0,Composition,Vinyl,Garage - Detached,Heat Pump,Wall,Bungalow,"PRICE REDUCED! 2 bedroom 1 bath fixer across from UP.  New roof, gutters and fresh paint. Bring your contractor- house needs kitchen and bath fixtures. Utility room with w/d hookup.  Off street parking behind house; single car garage. Potential to add extra living space or ADU in the backyard (see drawing). Great investment or starter.",1,31
92,4836 N HOUGHTON ST,320000,2393.14,5000,864,864,2,1.0,1970,1 STY,PORTSMOUTH,864,rosa parks,3,0,Composition,Wood,Garage - Detached,Forced air,None,Ranch / Rambler,"This charming, one level ranch home is ideally located on a corner lot in desirable Portsmouth.  With its open, great room style footprint this home offers comfort and style through large windows and light filled spaces.  The living room features big leaf maple hardwood floors and is open to the dining area and kitchen which has been remodeled with white oak butcher block counter tops, open shelving, a gas stove and new dishwasher.  There are two bedrooms, both with wall to wall carpets and one with a walk in closet.  The bath has new hex tile flooring, sink and cabinets as well as  a bath tub with tile surround.  The yard is in the process of being a certified habitat with native Oregon plants and fruit bearing apple trees.  There are raised garden beds, a chicken coop and picnic area.  The two car garage has laundry hook ups and tremendous ADU potential - as the bath has already been framed in.  
",1,31
93,4902 N CECELIA ST,308000,1062.18,3382,1468,734,3,2.0,2006,2 OR MORE STY,PORTSMOUTH,1468,rosa parks,6,0,Composition,Vinyl,Garage - Attached,Forced air,Central,Craftsman,"Charming craftsman style home with Oversized Wrap-around Porch, nestled on Private Overlook.  Large Kitchen with Stainless Steel Appliances, Newer Gas Range, Tile Countertops, Double Sink & Built-In Microwave. Open Floorplan features extensive Laminate Floors, cozy Gas Fireplace, Slider out to Shaded Patio and Fenced Yard & Formal Dining Rm. 2-Car Attached Garage, Master Bedroom Suite & More! Located near three neighborhood parks.",1,24
94,4917 N HUDSON ST,321000,3914.34,2975,1700,836,3,2.5,2008,2 OR MORE STY,PORTSMOUTH,1700,rosa parks,6,0,Shake / Shingle,,Garage - Detached,Forced air,Central,Contemporary,"	Intelligently built in 2008 to Energy Star/Earth Advantage standards & lovingly cared for since! Open main floor ideal for entertaining-tall ceilings, bamboo floors, fireplace and french doors open to private Trex deck. Summer BBQs and everyday indoor/outdoor living made easy! Master suite with His & Hers closets. Tons of trim work, closets, A/C and energy smart touches throughout make this house beautiful, practical and comfortable!",1,21
95,4923 N HUNT ST,335000,3433.82,3749,1436,616,4,2.5,2002,2 OR MORE STY,PORTSMOUTH,1436,rosa parks,5,0,Shake / Shingle,Wood,Garage - Attached,Forced air,Central,Other,"Nice two level home located in the University Park neighborhood. This home has a living room with gas fireplace. The dining room is located next to the kitchen and opens to the fenced yard. The kitchen is spacious with plenty of cabinet and counter space. The half bath and laundry room with hookups is located on the main level as well. The master bedroom with master bath and walk in closet is located on the upper level. The additional 3 bedrooms and main bath are located down the hall. There is a fenced yard.E-DESJ02 addendums 7, 8, 15, 17",1,20
96,4941 N YALE ST,467000,2725.11,5500,1461,741,3,2.0,1925,1 STY W/BSMT,UNIVERSITY PARK,1391,astor,6,0,Shake / Shingle,Wood,On-street,Forced air,Central,Other,"Delightful bungalow in University Park. Living room w/fireplace, built-ins and of course hardwoods. Remodeled kitchen has granite counters, new appliances and wood floors. 3 bedrooms, 2 updated bathrooms and family room. The basement was professionally remodeled in 2016 and the furnace, electric panel, hot water heater were replaced. Plus oversized private yard w/patio and deck.Bike Score 80.Dont miss the OPEN HOUSE SAT 5/13 1-3 and SUN 5/14 11-2.",1,31
97,"4957 N PRINCETON ST, UN A",725000,1035.31,3333,2023,1008,3,3.5,2017,2 OR MORE STY W/BSMT,UNIVERSITY PARK,3,,7,0,,,,,,,,0,27
98,"4957 N PRINCETON ST, UN B",725000,1035.31,3333,2023,1008,3,3.5,2017,2 OR MORE STY W/BSMT,UNIVERSITY PARK,3,,7,0,,,,,,,,0,27
99,5006 N SYRACUSE ST,550000,3186.26,4692,1948,1228,4,2.0,1927,1 STY W/ATTIC & BSMT,UNIVERSITY PARK,2244,astor,5,0,Composition,Wood,,Forced air,,Bungalow,"Charming remod w/atten to det loaded w/beautiful features & amenities: entertainer's kitch w/cook island & SS apps, wood flrs thru-out, designer colors int/ext paint, new plumbing & light fixtures, vinyl windows, wd burning fp w/built-ins, open flr plan w/lots of nat lights, 4 spac bdrms, 2 fully remod bthrms, huge corner lot! 79 Bikescore & 66 Walkscore near Univ Prk & local shops, coffee, restaurants,New Seasons & more! A gem!",1,30
100,5008 N VANDERBILT ST,445000,2233.73,6600,1300,800,3,1.0,1900,1 STY W/ATTIC & BSMT,PORTSMOUTH,2224,astor,5,0,Composition,Wood,Garage - Detached,Forced air,,,"PLEASE SUBMIT HIGHEST & BEST OFFERS NOT LATER THAN 5:00 PM, TUESDAY, 4/11. Wonderful Old Portland style in ideal University Park location, only a short stroll to New Seasons & Starbucks. Minutes to popular St. Johns. Inviting front porch with swing, spacious living / dining / kitchen. Oversized corner lot, original staircase to 3 bdrms and full bath up. Full basement, garage, great street of nicely maintained homes.",1,30
104,5017 N NEWARK ST,282000,2357.56,3080,944,944,2,1.0,2006,1 STY,PORTSMOUTH,944,rosa parks,4,0,Composition,Wood,Off-street,Wall,None,Bungalow,"944 sq ft, two bedroom, one bath. Off street parking. Laminate floors. This very charming property has a bike score of 79 and a walking score of 53. Stacked washer and dryer, stove & refrigerator. Front yard and very spacious community space maintained by a home owner association, small private backyard. Ideal for grilling and enjoying the weather. Basic garbage service included in the rent. Dogs under 25 lbs okay with pet deposit (sorry, no other pets allowed.)For more photos and details please check website.First and Last Months rent, plus $500 refundable deposit to move in. (Total $3,300) Refundable dog deposit of $250 (under 25 lbs, sorry no other pets allowed). Rent includes front lawn care, basic garbage service.",1,20
105,5017 N SYRACUSE ST,372500,3730.9,5501,2377,1211,6,3.0,1910,1 STY W/ATTIC & BSMT,UNIVERSITY PARK,2411,,8,0,Composition,Wood,Garage - Attached,Forced air,,Bungalow,"Spacious Bungalow Fixer with period details, 3 bedrooms on main, 2 upstairs, one downstairs and 3 Bathrooms - one on each level, fireplace in living room, dining room and bonus space, double car garage with alley access. Fantastic location 2 blocks from the University of Portland (formally student housing). Enormous potential for homeowner, rehab or student housing. 12 Bed/12 Bath Duplex for sale next door as well for 789K ML: 16182572",1,23
106,5021 N AMHERST ST,630000,669.63,3663,2346,1009,3,2.5,2017,2 OR MORE STY,97203,2241,,4,0,Composition,Vinyl,Garage - Attached,Forced air,Central,Contemporary,"New Renaissance LEED certified Vintage-inspired home in sought-after University of Portland & near Portsmouth Park! Gourmet designer kitchen with WI Pantry & island, hardwoods throughout main, gorgeous master suite w/WI closet, loft, outdoor covered living, pocket office on main. Front & rear sprinklers, landscaped yard w/fence. Contemporary/Prairie design! House is now complete and move in ready!",1,21
107,5026 N CECELIA ST,250000,2069.41,2975,918,918,2,1.5,2006,1 STY,PORTSMOUTH,918,,3,0,Shake / Shingle,,,Forced air,,Bungalow,"BUILT IN 2006.A MODERN TAKE ON A CLASSIC BUNGALOW.OPEN GREAT-ROOM CONCEPT LIVES LARGE.OPEN DINING RM AND KITCHEN WITH BREAKFAST BAR.LAUNDRY AREA CONVENIENTLY LOCATED OFF KITCHEN.LARGE PORCH FOR ENJOYING THE SUMMER EVENINGS.EARTH ADVANTAGE CERTIFIED.CONVENIENT TO SHOPPING,SCHOOLS,PARK AND BUS.",1,23
108,5028 N VANDERBILT ST,535000,5132.36,3666,1932,966,3,2.5,2016,2 OR MORE STY,PORTSMOUTH,1932,astor,6,0,,Cement / Concrete,Garage - Detached,,Central,Contemporary,"This superbly crafted, better-than-new home boasts high-end finishes throughout its well-designed open floor plan. Solid hardwoods, quartz counters, stainless appliances. Easy outdoor living on covered front porch and back patio, low maintenance, beautifully landscaped front/back yards. Over $20K in upgrades have been added to already well-appointed home, including central A/C, custom shades, built-ins, storage shelving, and more.",1,31
109,5029 N NEWARK ST,395000,2519.01,3094,1282,1282,3,2.0,2006,1 STY,PORTSMOUTH,1282,peninsula,3,0,Composition,Cement / Concrete,Off-street,Wall,,Craftsman,"Absolutely stunning one-level home in fabulous Portsmouth area of NoPo. Light filled open floor plan w/ formal living and dining areas. Smart, efficient and functional layout. Brand new, beautiful flooring throughout. Darling kitchen w/ new gas range and stainless steel appliances. Gorgeous master suite, additional two bedrooms and guest bath are all generous in size. Lovely, private backyard and off street parking. Open Sat/Sun 1-3pm!",1,31
110,5030 N HOUGHTON ST,370000,2303.55,5000,1032,1032,3,1.0,1952,1 STY,PORTSMOUTH,1032,cesar chavez,4,0,Shake / Shingle,Wood,Garage - Attached,Forced air,,Ranch / Rambler,"This beautiful 3-bedroom house features gleaming hardwood floors, modern window blinds and brand new stainless steel appliances, including a gas stove. An efficient gas furnace and top-notch insulation keeps the house warm in winter and a whole-house fan keeps the house naturally cool in summer.  Extra care was taken to wire the house in a manner that exceeds current safety standards. To ensure your health and safety when using the fireplace, a brank new liner has been installed in the chimney. House has an attached garage and comes with a washer and dryer for your convenience. Feel free to grow vegetables in the 3 raised garden beds. Conveniently located between I-5 and the St. John's Bridge. Close to the recently opened New Seasons on Lombard. Move-in costs: first month's rent plus refundable security deposit of $2100.

Owner pays for garbage & recycling service. Tenant pays for gas, electricity, water/sewer, and cable/Internet (if desired). Tenant responsible for keeping the yard looking nice. Application fee is $45 per adult. Apply online at greenkeyspdx.com by clicking on the For Renters tab. Screening criteria: household income of 2.5 times rent; minimum credit score of 650.",1,27
111,5034 N GIRARD ST,224000,2187.76,5500,792,792,2,1.0,1913,1 STY W/BSMT,PORTSMOUTH,792,,3,0,Composition,Wood,Garage - Detached,Forced air,,Other,,1,26
112,5037 N CECELIA ST,325000,2869.15,2520,1530,780,3,2.5,2006,2 OR MORE STY,PORTSMOUTH,1530,cesar chavez,4,0,Composition,Cement / Concrete,Garage - Attached,Forced air,Central,,"Lovely well-maintained contemporary home in New Columbia! Hardwoods in entry, gas fireplace, formal dining with slider to private patio. Knotty pine cupboards and tile in kitchen, master has walk-in closet and skylights, large 2-car garage has tons of storage. Open house Sunday 3/12 from 1 to 3pm.",1,29
113,5040 N OBERLIN ST,350000,2403.72,5500,880,880,2,1.0,1923,1 STY W/BSMT,UNIVERSITY PARK,880,,6,0,,,,,,,,1,30
114,"5111 N GIRARD ST, UN A",446900,3588.03,6200,1534,910,3,1.0,2015,1 STY,PORTSMOUTH,3,,2,0,,,,,,,,0,23
115,"5111 N GIRARD ST, UN B",446900,3588.03,6200,1534,910,3,1.0,2015,1 STY,PORTSMOUTH,3,,2,0,,,,,,,,0,23
116,5116 N HARVARD ST,430000,3332.93,5000,1040,840,3,2.0,1925,1 STY W/BSMT,UNIVERSITY PARK,1800,astor,7,0,Composition,Wood,Garage - Detached,Forced air,Other,Bungalow,"Charming, private, 3 bedroom, 2 bath bungalow 1 Block from U of P. Completely renovated with new wiring and plumbing, new stainless kitchen appliances, heated travertine stone in bathroom, stone fireplace surround, wood floors and new  window coverings.",1,25
117,5120 N FESSENDEN ST,365000,2877.65,6250,1106,1106,3,1.0,1964,1 STY,PORTSMOUTH,1106,cesar chavez,4,0,Shake / Shingle,Vinyl,Garage - Attached,Forced air,Central,Ranch / Rambler,"Midcentury gem! Lovely LR w/gorgeous HW floors, wood FP & big front windows for plenty of light. Spacious, bright retro kitchen w/tons of storage & room to eat in. French doors open to the amazing oversized lot. Space for summer bbq, gardening, chickens & plenty of room to run for kids and dogs. Large drive-thru garage w/tons of storage. All appliances included. Get in red-hot Portsmouth before it's too late! Open Sun 4/30 1-3",1,30
118,5124 N CECELIA ST,258000,2036.4,5000,620,620,2,2.0,1950,1 STY,PORTSMOUTH,1259,,4,0,,,,,,,,1,27
119,5135 N CECELIA ST,551000,3223.29,10000,2061,1261,4,1.0,1927,1 STY W/ATTIC & BSMT,PORTSMOUTH,3061,cesar chavez,4,0,Composition,Cement / Concrete,Garage - Attached,Forced air,,Bungalow,"Meticulously restored and updated urban farmhouse on .23 acres has beautiful original charm and high-end modern updates. Huge modern farmhouse kitchen with fireclay apron sink, butcher block island, quartz counters. Large master w/ 3(!) walk-ins. New plumbing including sewerline. 2014 high efficient furnace and water heater. Double lot has massive 800sqft partially enclosed garage, deck, lawn, and large patio! Owner is a licensed Oregon broker.",1,30
